name,ingredients,instructions,skill,duration
"Mozzarella, green bean and onion mash",8,2,easy,fast
Apple puff pastry horseshoes,6,5,easy,medium
Tarte Tatin,4,2,moderate,medium
Mashed potato with lime,4,3,easy,fast
Duck breast with a honey and soy glaze and plum chutney,16,3,moderate,medium
Scallops on a bed of spring onions and poppy seeds,11,3,easy,medium
Oriental vegetables with couscous,25,6,moderate,complex
Sage roulade with dried apricots,13,3,moderate,medium
Rhubarb and ginger compote served with white chocolate ice cream,9,3,easy,medium
Lemon cheese pie,17,4,moderate,medium
Chocolate crème with bilberries and almonds,8,2,easy,medium
Korean Seafood Pancakes,15,4,moderate,fast
Roasted garlic and cauliflower stamp,8,2,easy,fast
Gâteau du Vully,12,5,moderate,medium
Bread 'n' butter pudding,7,2,moderate,medium
Sea bass in a salt crust with herb sauce,14,3,moderate,medium
Ebly wheat with vegetables,16,6,easy,medium
Strawberry Bienenstich (bee sting cake),16,5,advanced,complex
Bilberry ring cake with lime curd,16,3,easy,medium
Sweet and sour vegetables with lentils,14,3,easy,fast
Natural yogurt,2,2,easy,fast
Shepherd’s pie,18,5,moderate,medium
Crème fraiche and pecan mash,7,2,easy,fast
Bacalhau com natas (stockfish with cream),16,7,moderate,complex
Aubergine and lamb bake with hummus,22,4,moderate,medium
"Sweet pepper, spring onion and Gruyère mash",10,4,easy,fast
Bramata polenta,9,2,easy,fast
Celery soup with whisky and Stilton,14,2,easy,medium
Strawberry jam,2,3,moderate,fast
Potato roulade,9,4,advanced,medium
Hong Kong-Style Rice Bowl,8,2,easy,fast
Apple bread and butter pudding with black tea sauce,22,4,moderate,complex
Confit fillet of veal with oranges,12,3,moderate,medium
Pumpkin and mandarin soufflé with white chocolate sauce,12,4,moderate,medium
"Greek yogurt, buttermilk and parsley mash",9,2,easy,fast
Quick Swiss chard-wrapped dumplings (capuns),10,2,advanced,medium
"Buttermilk, bacon and blue cheese mash",7,2,easy,fast
Beetroot with white grapes and mesclun salad,8,3,moderate,medium
Aubergine cannelloni,13,4,moderate,medium
"Cheddar, cholula and spring onion mash",6,2,easy,fast
Fougasse (flat loaf),5,5,moderate,fast
Vanilla-glazed salmon with asparagus salad,9,4,easy,medium
Olive and fennel tart with air-dried ham,14,4,moderate,medium
Quick chocolate cake with fruit compote,11,4,easy,fast
Macaroni cheese with apple wedges,15,4,easy,medium
Courgette soufflé,13,4,easy,medium
Bûche de Noël,17,6,advanced,complex
Grilled vegetables with pasta,12,4,easy,medium
Stuffed veal rolls with vegetable rice,22,4,moderate,medium
Raspberry marmalade,3,4,moderate,medium
Rösti (hash brown) muffins,7,4,easy,medium
Cinnamon-tree flower terrine with chocolate and pear sauce,20,5,advanced,medium
Pasta con pulpo,14,3,moderate,medium
Soup in bread pouches,15,5,advanced,medium
Shoulder of veal with sauerkraut and pineapple,15,3,easy,medium
Chicken breasts with sweet pepper sauce,11,4,moderate,medium
Beef olives with red cabbage,18,4,moderate,medium
Fillet of veal with pistachios and morels,13,3,moderate,medium
Buddha Jumps Over the Wall,18,4,easy,medium
Orange and star anise loaf cake,12,2,moderate,fast
